Datetime,Open,High,Low,Close,Adj Close,Volume,RSI,RSI_ohlc3,RSI_ohlc4,RSI_finTA
2023-01-01 00:00:00+00:00,1196.713623046875,1196.837890625,1194.5174560546875,1195.2689208984375,1195.2689208984375,0,,,,
2023-01-01 01:00:00+00:00,1195.25732421875,1196.1104736328125,1194.7972412109375,1196.1104736328125,1196.1104736328125,0,,,,100.0
2023-01-01 02:00:00+00:00,1196.1126708984375,1196.862060546875,1195.1553955078125,1196.1407470703125,1196.1407470703125,0,,,,100.0
2023-01-01 03:00:00+00:00,1196.069091796875,1196.069091796875,1193.7823486328125,1194.7694091796875,1194.7694091796875,4435456,,,,35.468683966347854
2023-01-01 04:00:00+00:00,1194.8076171875,1194.8076171875,1192.8853759765625,1192.9730224609375,1192.9730224609375,0,,,,18.566545172709297
2023-01-01 05:00:00+00:00,1193.04150390625,1194.782958984375,1193.04150390625,1194.782958984375,1194.782958984375,0,,,,46.321694929659515
2023-01-01 06:00:00+00:00,1194.7811279296875,1195.2060546875,1194.6162109375,1194.7974853515625,1194.7974853515625,0,,,,46.47936176685096
2023-01-01 07:00:00+00:00,1194.826171875,1195.279296875,1193.9117431640625,1195.2568359375,1195.2568359375,7666688,,,,51.34603044783473
2023-01-01 08:00:00+00:00,1195.318359375,1195.634033203125,1194.597412109375,1194.597412109375,1194.597412109375,0,,,,45.017576127694745
2023-01-01 09:00:00+00:00,1194.5943603515625,1196.2596435546875,1194.22998046875,1196.2596435546875,1196.2596435546875,0,,,,58.80175814912555
2023-01-01 10:00:00+00:00,1196.345947265625,1196.617431640625,1196.10498046875,1196.5670166015625,1196.5670166015625,0,,,,60.76076786380601
2023-01-01 11:00:00+00:00,1196.6796875,1197.4620361328125,1196.4068603515625,1196.571533203125,1196.571533203125,0,,,,60.79027196700954
2023-01-01 12:00:00+00:00,1196.564208984375,1197.875732421875,1196.3050537109375,1197.5467529296875,1197.5467529296875,0,,,,66.62543406260498
2023-01-01 13:00:00+00:00,1197.486572265625,1197.595703125,1195.4375,1195.62548828125,1195.62548828125,0,,,,50.63726496486548
2023-01-01 14:00:00+00:00,1195.6385498046875,1196.2744140625,1195.3912353515625,1195.400146484375,1195.400146484375,0,50.543209127934595,50.879778948545805,50.33329212074113,49.14756125683881
2023-01-01 15:00:00+00:00,1195.352783203125,1196.5399169921875,1195.2596435546875,1196.5399169921875,1196.5399169921875,0,55.105412281104115,53.42565538187497,52.69639129922804,56.171024626994964
2023-01-01 16:00:00+00:00,1196.6529541015625,1197.9306640625,1196.6529541015625,1197.6602783203125,1197.6602783203125,6403584,59.09937502852907,60.23035459776387,59.9209679961164,61.7616911856344
2023-01-01 17:00:00+00:00,1197.7115478515625,1200.973876953125,1197.562255859375,1200.51513671875,1200.51513671875,2589952,67.12511983217115,68.79167055948456,68.5659115914705,71.67609404757681
2023-01-01 18:00:00+00:00,1200.5391845703125,1202.0811767578125,1200.5391845703125,1201.210205078125,1201.210205078125,0,68.73375922837826,73.16021692126641,73.36548801267422,73.4790479645641
2023-01-01 19:00:00+00:00,1201.353515625,1203.238525390625,1201.353515625,1202.2342529296875,1202.2342529296875,0,70.98631151571546,75.47737845256025,75.69598721509745,75.9118783606296
2023-01-01 20:00:00+00:00,1202.2791748046875,1203.475341796875,1201.9571533203125,1201.996826171875,1201.996826171875,0,69.73194320086652,75.92789500722638,76.27897861230714,74.21210289689981
2023-01-01 21:00:00+00:00,1201.972412109375,1202.7911376953125,1201.4073486328125,1202.771484375,1202.771484375,0,71.50139682349793,74.80059153806197,75.03381092819563,76.093028136144
2023-01-01 22:00:00+00:00,1202.7344970703125,1202.9359130859375,1201.4803466796875,1201.5009765625,1201.5009765625,0,64.80955617679419,72.156513686735,72.97046897830492,67.40892618308355
2023-01-01 23:00:00+00:00,1201.4454345703125,1202.4605712890625,1200.4189453125,1200.926513671875,1200.926513671875,4590336,61.98477123280907,67.03862532840313,67.34192486229719,63.86014463215962
2023-01-02 00:00:00+00:00,1201.103271484375,1201.5814208984375,1198.22216796875,1198.437744140625,1198.437744140625,0,51.509985349965646,55.8036208738321,56.453502473215444,51.26762952526871
2023-01-02 01:00:00+00:00,1198.427001953125,1198.427001953125,1195.2149658203125,1196.1190185546875,1196.1190185546875,74818048,44.042395739584514,43.7659762772864,44.03679702738516,42.7997744040697
2023-01-02 02:00:00+00:00,1196.0286865234375,1197.6302490234375,1195.7532958984375,1197.52734375,1197.52734375,0,48.88904192390447,45.483256157708794,44.82290779638528,48.37692451869976
2023-01-02 03:00:00+00:00,1197.5655517578125,1202.043701171875,1197.1807861328125,1201.888671875,1201.888671875,25627648,60.34396116201164,57.79734437869993,57.260340359652105,61.04428806320679
2023-01-02 04:00:00+00:00,1201.8172607421875,1202.099853515625,1200.3726806640625,1201.3841552734375,1201.3841552734375,19290624,58.70490519334095,60.38848739658705,60.69129136050986,59.23356669260205
2023-01-02 05:00:00+00:00,1201.4033203125,1202.89892578125,1201.0013427734375,1202.7427978515625,1202.7427978515625,13276928,61.7202919796728,62.88113609613083,62.94891355116725,62.46268694840366
2023-01-02 06:00:00+00:00,1202.69677734375,1203.2325439453125,1201.550048828125,1201.5816650390625,1201.5816650390625,14708992,57.833549489335,62.457614062994125,62.98693266627553,58.21841465731327
2023-01-02 07:00:00+00:00,1201.546630859375,1214.3369140625,1201.546630859375,1213.6787109375,1213.6787109375,406367232,75.29133589384402,76.58737417158112,76.39804172323034,76.29236115920078
2023-01-02 08:00:00+00:00,1213.34765625,1216.0521240234375,1212.9677734375,1215.351318359375,1215.351318359375,108478208,76.72613163607211,81.40002200992782,81.87909617380427,77.72701112536664
2023-01-02 09:00:00+00:00,1215.343505859375,1218.2366943359375,1215.343505859375,1217.0758056640625,1217.0758056640625,141782784,78.13582475140996,82.99737477966261,83.45925925303426,79.12932372739313
2023-01-02 10:00:00+00:00,1217.093505859375,1219.0601806640625,1217.0498046875,1218.029296875,1218.029296875,222966016,78.89692713084938,83.82641671915366,84.31080778171528,79.88347869198788
2023-01-02 11:00:00+00:00,1218.1151123046875,1218.1151123046875,1215.260986328125,1217.18603515625,1217.18603515625,55672832,76.36509306055757,79.53732613785184,80.52828095573258,77.22571487676781
2023-01-02 12:00:00+00:00,1217.29833984375,1218.2127685546875,1217.2288818359375,1217.2540283203125,1217.2540283203125,23768064,76.43076927444868,80.18843355729038,81.0597929500946,77.29132016568535
2023-01-02 13:00:00+00:00,1217.25146484375,1217.279296875,1214.7393798828125,1215.4920654296875,1215.4920654296875,8526080,70.93027114734171,74.02405279319512,75.11251489479598,71.5401019911598
